customer_query,intent,sentiment,responses,
I want to know if you have any discounts available for cosmetics products.,inquiry,neutral,"Yes, we currently have some ongoing discounts on selected cosmetics products. Would you like me to check the specific items for you?",
The lipstick I ordered arrived broken. I'm really disappointed.,complaint,negative,"I'm sorry to hear about the issue you faced with the broken lipstick. We apologize for the inconvenience caused. Please provide your order number, and we will arrange a replacement for you.",
I love the new eyeshadow palette I bought from your website! It's amazing!,feedback,positive,"Thank you for your kind words! We're glad to hear that you're enjoying the eyeshadow palette. If you have any more feedback or need assistance with anything else, feel free to reach out to us.",
I'm not satisfied with the foundation I purchased. It doesn't match my skin tone.,complaint,negative,"I apologize for the inconvenience caused by the mismatched foundation. We understand how important it is to find the right shade. Please provide your order details, and we will assist you in finding a suitable solution.",
Do you have any organic and cruelty-free makeup products?,inquiry,neutral,"Yes, we offer a wide range of organic and cruelty-free makeup products. Feel free to browse our collection online to find the ones that suit your preferences.",
The mascara I ordered is great! It adds volume to my lashes.,feedback,positive,"We're delighted to hear that the mascara is working well for you and providing the desired volume. If you have any more questions or need further assistance, please don't hesitate to ask.",
I received the wrong shade of lipstick in my order. This is really frustrating.,complaint,negative,"I'm sorry for the mix-up with your lipstick shade. We apologize for any inconvenience caused. Please provide your order number, and we will arrange a replacement for you as soon as possible.",
Can you recommend a good moisturizer for dry skin?,inquiry,neutral,"Certainly! For dry skin, we recommend trying our XYZ Moisturizing Cream. It's specially formulated to provide intense hydration and nourishment. Give it a try, and let us know if you have any further questions.",
The blush I received was damaged during shipping. I'm not happy with the condition it arrived in.,complaint,negative,"We apologize for the damaged blush you received. Our team works hard to ensure safe packaging, but sometimes accidents can happen during transit. Please provide your order details, and we will assist you with a replacement.",
I'm extremely satisfied with the customer service I received. The representative was very helpful!,feedback,positive,"Thank you for your kind words! We're thrilled to hear that you had apositivekk  experience with our customer service representative. We'll make sure to pass along your feedback. If you have any more questions or need further assistance, feel free to reach out to us.",
Can you suggest a good foundation for oily skin?,inquiry,neutral,"Of course! For oily skin, we recommend trying our XYZ Matte Foundation. It is specifically designed to control oil and provide a long-lasting matte finish. Give it a try and let us know if you have any further questions.",
The eyeshadow palette I received is missing one color. This is really disappointing.,complaint,negative,"We apologize for the missing eyeshadow color. We understand your disappointment and will take immediate action to resolve this. Please provide your order details, and we will arrange a replacement for you.",
I really like the lip gloss I purchased. It has a nice shine to it.,feedback,positive,"We're glad to hear that you're enjoying the lip gloss! Our aim is to provide high-quality products that meet your expectations. If you have any more feedback or need assistance with anything else, feel free to reach out to us.",
The moisturizer I bought is causing breakouts on my skin. I'm not happy with the product.,complaint,negative,"We apologize for the negativekk experience you had with the moisturizer. It's important to us that our products work well for you. Please provide your order details, and we will assist you with a suitable solution.",
Are your cosmetics products cruelty-free?,inquiry,neutral,"Yes, all our cosmetics products are cruelty-free. We are committed to offering ethical and animal-friendly products. Feel free to explore our range without any concerns.",
The mascara I received is dried out. It's unusable.,complaint,negative,"We apologize for the dried-out mascara. That's certainly not the quality we strive for. Please provide your order details, and we will send you a replacement as soon as possible.",
I'm really impressed with the packaging of the lipstick I ordered. It arrived in perfect condition.,feedback,positive,"Thank you for yourpositivekk  feedback! We're glad to hear that the lipstick arrived in perfect condition. We take pride in ensuring that our products reach you safely. If you have any more questions or need further assistance, feel free to reach out to us.",
Can you recommend a good face mask for dry skin?,inquiry,neutral,"Certainly! For dry skin, we recommend trying our XYZ Hydrating Face Mask. It is enriched with nourishing ingredients to provide intense hydration and rejuvenation. Give it a try, and let us know if you have any further questions.",
The blush I received is the wrong shade. This is really frustrating.,complaint,negative,"I'm sorry for the mix-up with the blush shade. We understand how frustrating this can be. Please provide your order number, and we will arrange a replacement for you as soon as possible.",
"I received the correct order, but the eyeshadow palette is damaged. I'm not satisfied.",complaint,negative,"We apologize for the damaged eyeshadow palette you received. We understand your dissatisfaction. Please provide your order details, and we will assist you with a replacement.",
Can you suggest a good foundation for oily skin?,inquiry,neutral,"Of course! For oily skin, we recommend trying our XYZ Matte Foundation. It is specifically designed to control oil and provide a long-lasting matte finish. Give it a try and let us know if you have any further questions.",
The eyeshadow palette I received is missing one color. This is really disappointing.,complaint,negative,"We apologize for the missing eyeshadow color. We understand your disappointment and will take immediate action to resolve this. Please provide your order details, and we will arrange a replacement for you.",
I really like the lip gloss I purchased. It has a nice shine to it.,feedback,positive,"We're glad to hear that you're enjoying the lip gloss! Our aim is to provide high-quality products that meet your expectations. If you have any more feedback or need assistance with anything else, feel free to reach out to us.",
The moisturizer I bought is causing breakouts on my skin. I'm not happy with the product.,complaint,negative,"We apologize for the negativekk experience you had with the moisturizer. It's important to us that our products work well for you. Please provide your order details, and we will assist you with a suitable solution.",
Are your cosmetics products cruelty-free?,inquiry,neutral,"Yes, all our cosmetics products are cruelty-free. We are committed to offering ethical and animal-friendly products. Feel free to explore our range without any concerns.",
The mascara I received is dried out. It's unusable.,complaint,negative,"We apologize for the dried-out mascara. That's certainly not the quality we strive for. Please provide your order details, and we will send you a replacement as soon as possible.",
I'm really impressed with the packaging of the lipstick I ordered. It arrived in perfect condition.,feedback,positive,"Thank you for yourpositivekk  feedback! We're glad to hear that the lipstick arrived in perfect condition. We take pride in ensuring that our products reach you safely. If you have any more questions or need further assistance, feel free to reach out to us",
Can you recommend a good face mask for dry skin?,inquiry,neutral,"Certainly! For dry skin, we recommend trying our XYZ Hydrating Face Mask. It is enriched with nourishing ingredients to provide intense hydration and rejuvenation. Give it a try, and let us know if you have any further questions.",
The blush I received is the wrong shade. This is really frustrating.,complaint,negative,"I'm sorry for the mix-up with the blush shade. We understand how frustrating this can be. Please provide your order number, and we will arrange a replacement for you as soon as possible.",
"I received the correct order, but the eyeshadow palette is damaged. I'm not satisfied.",complaint,negative,"We apologize for the damaged eyeshadow palette you received. We understand your dissatisfaction. Please provide your order details, and we will assist you with a replacement.",
I'm not sure which lipstick shade would suit me. Can you help?,inquiry,neutral,Of course! Choosing the right lipstick shade can be tricky. Could you provide some information about your skin tone or preferences? This will help us recommend suitable shades for you.,
The foundation I ordered is too light for my skin tone. I need a darker shade.,complaint,negative,"We apologize for the mismatched foundation shade. We understand the importance of finding the right match. Please provide your order details, and we will assist you in finding a suitable solution.",
I'm extremely satisfied with the customer service I received. The representative was very helpful!,feedback,positive,Thank you for your kind words! We're thrilled to hear that you had apositivekk," experience with our customer service representative. We'll make sure to pass along your feedback. If you have any more questions or need further assistance, feel free to reach out to us."
The eyeliner I received is dried out. It's impossible to apply.,complaint,negative,"We apologize for the dried-out eyeliner. That's certainly not the quality we strive for. Please provide your order details, and we will send you a replacement as soon as possible.",
Can you recommend a good cleanser for sensitive skin?,inquiry,neutral,"Certainly! For sensitive skin, we recommend trying our XYZ Gentle Cleansing Gel. It is specifically formulated to cleanse without irritating or stripping the skin. Give it a try, and let us know if you have any further questions.",
I received the wrong order. This is unacceptable.,complaint,negative,"We apologize for the mix-up with your order. We understand your frustration, and we will make sure to rectify the situation. Please provide your order details, and we will arrange a replacement for you.",
I would like to request a refund for the damaged lipstick I received.,refund,negative,"Sorry about that. To process your refund, please provide your order details, including the order number and your preferred refund method (original payment method or store credit).",
The eyeshadow palette I received is completely shattered. I want a refund.,refund,negative,"Sorry for the shattered eyeshadow palette. To initiate your refund, please provide your order details, including the order number, and we will assist you in processing the refund.",
The moisturizer I bought caused an allergic reaction on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the allergic reaction caused by the moisturizer. Your safety is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I'm really disappointed with the mascara I bought. It clumps and smudges easily. I want a refund.,refund,negative,"I understand. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The foundation I purchased doesn't match my skin tone at all. I want to return it and get a refund.,refund,negative,"I understand. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I'm not satisfied with the quality of the lip gloss I bought. It's sticky and doesn't last long. I want a refund.,refund,negative,"We apologize for the unsatisfactory experience with the lip gloss. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The blush I received is completely different from what I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with the blush shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received the wrong order. None of the products are what I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with your order. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The cleanser I bought is causing dryness and irritation on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the dryness and irritation caused by the cleanser. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I'm really unhappy with the customer service I received. They were unhelpful and rude. I want a refund.,refund,negative,"We apologize for the unsatisfactory customer service experience. Your feedback is important to us. To process your refund and address your concerns, please provide your order details, including the order number.",
I would like to request a refund for the damaged lipstick I received.,refund,negative,"We apologize for the damaged lipstick you received. To process your refund, please provide your order details, including the order number and your preferred refund method (original payment method or store credit).",
The eyeshadow palette I received is completely shattered. I want a refund.,refund,negative,"We apologize for the shattered eyeshadow palette. To initiate your refund, please provide your order details, including the order number, and we will assist you in processing the refund.",
The moisturizer I bought caused an allergic reaction on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the allergic reaction caused by the moisturizer. Your safety is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I'm really disappointed with the mascara I bought. It clumps and smudges easily. I want a refund.,refund,negative,"We apologize for the disappointing experience with the mascara. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The foundation I purchased doesn't match my skin tone at all. I want to return it and get a refund.,refund,negative,"We apologize for the mismatched foundation shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I'm not satisfied with the quality of the lip gloss I bought. It's sticky and doesn't last long. I want a refund.,refund,negative,"We apologize for the unsatisfactory experience with the lip gloss. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The blush I received is completely different from what I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with the blush shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received the wrong order. None of the products are what I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with your order. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The cleanser I bought is causing dryness and irritation on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the dryness and irritation caused by the cleanser. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I'm really unhappy with the customer service I received. They were unhelpful and rude. I want a refund.,refund,negative,"We apologize for the unsatisfactory customer service experience. Your feedback is important to us. To process your refund and address your concerns, please provide your order details, including the order number.",
The concealer I bought doesn't provide enough coverage. I want to return it and get a refund.,refund,negative,"We apologize for the inadequate coverage provided by the concealer. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The perfume I ordered smells nothing like the description. I want to return it and get a refund.,refund,negative,"We apologize for the discrepancy between the perfume's scent and the description. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I received expired cosmetics. This is unacceptable. I want a refund.,refund,negative,"We apologize for the expired cosmetics you received. Your satisfaction is important to us. To process your refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The lipstick I received is broken. I want to return it and get a refund.,refund,negative,"We apologize for the broken lipstick. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face mask I bought causes skin irritation. I want to return it and get a refund.,refund,negative,"We apologize for the skin irritation caused by the face mask. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I received the wrong quantity of products in my order. I want a refund.,refund,negative,"We apologize for the incorrect quantity of products in your order. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The nail polish I ordered is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out nail polish you received. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The body lotion I bought has a strange odor. I want to return it and get a refund.,refund,negative,"We apologize for the strange odor of the body lotion. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The highlighter I received is broken. I want to return it and get a refund.,refund,negative,"We apologize for the broken highlighter. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup brushes I bought shed bristles. I want to return them and get a refund.,refund,negative,"We apologize for the shedding bristles of the makeup brushes. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The skincare set I bought caused skin irritation. I want to return it and get a refund.,refund,negative,"We apologize for the skin irritation caused by the skincare set. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The toner I received is leaking. I want to return it and get a refund.,refund,negative,"We apologize for the leaking toner. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup remover I bought is ineffective. I want to return it and get a refund.,refund,negative,"We apologize for the ineffective makeup remover. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The bronzer I received is the wrong shade. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the bronzer shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hair spray I bought has a strong unpleasant smell. I want to return it and get a refund.,refund,negative,"We apologize for the strong unpleasant smell of the hair spray. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received the wrong size of the cosmetics bag I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with the size of the cosmetics bag. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The setting spray I received is leaking. I want to return it and get a refund.,refund,negative,"We apologize for the leaking setting spray. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The body scrub I bought is too abrasive for my skin. I want to return it and get a refund.,refund,negative,"We apologize for the abrasiveness of the body scrub. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I'm really dissatisfied with the lipstick I bought. It's not the shade I expected. I want a refund.,refund,negative,"We apologize for the dissatisfaction with the lipstick shade. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face wash I bought is causing excessive dryness. I want to return it and get a refund.,refund,negative,"We apologize for the excessive dryness caused by the face wash. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The lip balm I bought has an unpleasant taste. I want to return it and get a refund.,refund,negative,"We apologize for the unpleasant taste of the lip balm. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The nail polish I received is a completely different color than what I ordered. I want a refund.,refund,negative,"We apologize for the mix-up with the nail polish color. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The body lotion I bought is causing an allergic reaction. I want to return it and get a refund.,refund,negative,"We apologize for the allergic reaction caused by the body lotion. Your safety is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The concealer I received is the wrong shade. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the concealer shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face mask I bought is causing redness and irritation. I want to return it and get a refund.,refund,negative,"We apologize for the redness and irritation caused by the face mask. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I'm really disappointed with the lip scrub I bought. It's not effective at removing dry skin. I want a refund.,refund,negative,"We apologize for the disappointing experience with the lip scrub. To initiate a refund, please provide your order details, including the order number, and we will assist you in the refund process.",
The eyeliner I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out eyeliner. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The primer I bought makes my foundation look patchy. I want to return it and get a refund.,refund,negative,"We apologize for the patchy appearance caused by the primer. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hair gel I bought is not holding my hairstyle. I want to return it and get a refund.,refund,negative,"We apologize for the inadequate hold provided by the hair gel. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup sponge I received is torn. I want to return it and get a refund.,refund,negative,"We apologize for the torn makeup sponge. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I'm really dissatisfied with the customer service I received. They were unprofessional and unhelpful. I want a refund.,refund,negative,"We apologize for the unsatisfactory customer service experience. Your feedback is important to us. To process your refund and address your concerns, please provide your order details, including the order number.",
The body wash I bought has a strong and unpleasant fragrance. I want to return it and get a refund.,refund,negative,"We apologize for the strong and unpleasant fragrance of the body wash. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face scrub I bought is too harsh for my sensitive skin. I want to return it and get a refund.,refund,negative,"We apologize for the harshness of the face scrub. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
I received the wrong shade of foundation. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the foundation shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup remover wipes I bought are drying out quickly. I want to return them and get a refund.,refund,negative,"We apologize for the quick drying of the makeup remover wipes. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hair conditioner I bought is making my hair greasy. I want to return it and get a refund.,refund,negative,"We apologize for the greasiness caused by the hair conditioner. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The setting powder I received is completely shattered. I want a refund.,refund,negative,"We apologize for the shattered setting powder. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The body oil I bought has leaked all over the packaging. I want to return it and get a refund.,refund,negative,"We apologize for the leakage of the body oil. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The mascara I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out mascara. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The lip stain I bought is too drying on my lips. I want to return it and get a refund.,refund,negative,"We apologize for the drying effect of the lip stain. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The nail polish remover I bought is not effective. I want to return it and get a refund.,refund,negative,"We apologize for the ineffectiveness of the nail polish remover. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I'm really dissatisfied with the packaging of the eyeshadow palette I received. It arrived damaged. I want a refund.,refund,negative,"We apologize for the damaged packaging of the eyeshadow palette. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The body butter I bought has an expired date. I want to return it and get a refund.,refund,negative,"We apologize for the expired body butter you received. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The lip scrub I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out lip scrub. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The blush I bought is too pigmented. It looks unnatural on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the unsatisfactory pigmentation of the blush. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The eyelash curler I received is broken. I want to return it and get a refund.,refund,negative,"We apologize for the broken eyelash curler. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hair mask I bought is making my hair greasy and heavy. I want to return it and get a refund.,refund,negative,"We apologize for the greasiness and heaviness caused by the hair mask. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The lip liner I received is the wrong shade. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the lip liner shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face mist I bought has a faulty sprayer. It doesn't spray evenly. I want to return it and get a refund.,refund,negative,"We apologize for the faulty sprayer of the face mist. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup bag I received has a broken zipper. I want to return it and get a refund.,refund,negative,"We apologize for the broken zipper on the makeup bag. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hand cream I bought has a strange smell. I want to return it and get a refund.,refund,negative,"We apologize for the strange smell of the hand cream. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received the wrong shade of lipstick. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the lipstick shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The body lotion I bought is causing skin irritation. I want to return it and get a refund.,refund,negative,"We apologize for the skin irritation caused by the body lotion. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The hair serum I bought is making my hair oily and greasy. I want to return it and get a refund.,refund,negative,"We apologize for the oiliness and greasiness caused by the hair serum. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The lip balm I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out lip balm. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face powder I bought is too powdery and accentuates dry patches. I want to return it and get a refund.,refund,negative,"We apologize for the powdery texture and accentuation of dry patches caused by the face powder. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The nail polish I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out nail polish. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The body scrub I bought is too harsh on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the harshness of the body scrub. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The perfume I received has a different scent than what I ordered. I want to return it and get a refund.,refund,negative,"We apologize for the discrepancy between the perfume's scent and your order. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The lip gloss I bought has a strange taste. I want to return it and get a refund.,refund,negative,"We apologize for the strange taste of the lip gloss. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received expired skincare products. This is unacceptable. I want a refund.,refund,negative,"We apologize for the expired skincare products you received. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face cleanser I bought is causing redness and irritation. I want to return it and get a refund.,refund,negative,"We apologize for the redness and irritation caused by the face cleanser. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The eyeshadow palette I received has missing shades. I want a refund.,refund,negative,"We apologize for the missing shades in the eyeshadow palette. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hand sanitizer I bought has an overwhelming scent. I want to return it and get a refund.,refund,negative,"We apologize for the overwhelming scent of the hand sanitizer. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The body wash I received has leaked during transit. I want a refund.,refund,negative,"We apologize for the leakage of the body wash during transit. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The face mask I bought is causing breakouts on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the breakouts caused by the face mask. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The makeup sponge I received is torn and unusable. I want a refund.,refund,negative,"We apologize for the torn makeup sponge. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hair spray I bought is making my hair stiff and sticky. I want to return it and get a refund.,refund,negative,"We apologize for the stiffness and stickiness caused by the hair spray. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The lipstick I received is the wrong shade. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the lipstick shade. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face scrub I bought is too harsh on my sensitive skin. I want to return it and get a refund.,refund,negative,"We apologize for the harshness of the face scrub on your sensitive skin. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The eyeliner I received is dried out and unusable. I want a refund.,refund,negative,"We apologize for the dried-out eyeliner. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The makeup remover I bought is irritating my eyes. I want to return it and get a refund.,refund,negative,"We apologize for the irritation caused by the makeup remover. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The face moisturizer I received has an expired date. I want a refund.,refund,negative,"We apologize for the expired face moisturizer you received. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The mascara I bought is clumpy and difficult to apply. I want to return it and get a refund.,refund,negative,"We apologize for the clumpiness of the mascara. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The lip stain I received is completely dried out. I want a refund.,refund,negative,"We apologize for the dried-out lip stain. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
I received the wrong quantity of products in my order. I want a refund.,refund,negative,"We apologize for the incorrect quantity of products in your order. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The hair conditioner I bought is making my hair feel greasy and weighed down. I want to return it and get a refund.,refund,negative,"We apologize for the greasiness and weighed-down feeling caused by the hair conditioner. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The eyeshadow palette I received has expired. I want a refund.,refund,negative,"We apologize for the expired eyeshadow palette. To process your refund, please provide your order details, including the order number, and we will guide you through the refund process and arrange a refund for you.",
The body lotion I bought has a strong and unpleasant scent. I want to return it and get a refund.,refund,negative,"We apologize for the strong and unpleasant scent of the body lotion. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The face cleanser I received is causing dryness and irritation. I want to return it and get a refund.,refund,negative,"We apologize for the dryness and irritation caused by the face cleanser. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The blush I bought is too sheer and doesn't show up on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the sheerness of the blush. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The hand cream I received is causing an allergic reaction on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the allergic reaction caused by the hand cream. Your safety is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The hair gel I bought is not holding my hairstyle. I want to return it and get a refund.,refund,negative,"We apologize for the inadequate hold provided by the hair gel. To initiate a refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The lip gloss I received is the wrong color. I want to return it and get a refund.,refund,negative,"We apologize for the mix-up with the lip gloss color. To process your refund, please provide your order details, including the order number, and we will guide you through the return process and arrange a refund for you.",
The setting spray I bought is making my makeup melt off. I want to return it and get a refund.,refund,negative,"We apologize for the makeup melting off caused by the setting spray. Your satisfaction is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
The face mask I received is causing a burning sensation on my skin. I want to return it and get a refund.,refund,negative,"We apologize for the burning sensation caused by the face mask. Your comfort is important to us. Please provide your order details, including the order number, and we will guide you through the return process and arrange a refund.",
